t_,theta1_,theta2_,omega1_,omega2_
0,0.2,0.4,0,0
0.01,0.2,0.4,0.001743699467259956,0.009727974903381011
0.02,0.20000724101481068,0.40008053676766203,0.0034620426832592957,0.019616383385008748
0.03,0.200021599271154,0.40024359828922484,0.005154195489336392,0.029670513676921934
0.04,0.2000429462970902,0.4004912883207134,0.006819263547458658,0.03989598727148216
0.05,0.20007114862574452,0.4008258347838487,0.008456288731500682,0.05029878029592445
0.060000000000000005,0.20010606748477427,0.4012495988615195,0.010064245260645156,0.060885246653290245
0.07,0.20014755847099017,0.401765084862977,0.011642035554672282,0.07166214310397395
0.08,0.20019547120955275,0.402374950936963,0.013188485789703887,0.08263665648087008
0.09,0.20024964899718398,0.4030820207200565,0.014702341131833647,0.0938164332520411
0.09999999999999999,0.2003099284288646,0.40388929601776796,0.016182260625064046,0.10520961166818803
0.10999999999999999,0.20037613900753742,0.40479997062748746,0.01762681170916488,0.11682485675826676
0.11999999999999998,0.20044810273640554,0.4058174454254892,0.019034464342577464,0.12867139846564657
0.12999999999999998,0.20052563369351148,0.40694534485502504,0.020403584705461417,0.14075907324956335
0.13999999999999999,0.20060853758841313,0.40818753496935123,0.021732428458616303,0.1530983695126023
0.15,0.20069661130094346,0.4095481432026009,0.023019133535574852,0.16570047725487924
0.16,0.20078964240226505,0.4110315800630674,0.02426171244801338,0.1785773423997925
0.17,0.20088740865871837,0.412642562968057,0.025458044089231902,0.19174172628497044
0.18000000000000002,0.20098967751933194,0.41438614246742456,0.02660586502745177,0.20520727086556126
0.19000000000000003,0.20109620558833083,0.41626773113468246,0.027702760290900397,0.21898857023540771
0.20000000000000004,0.20120673808457462,0.4182931354407034,0.02874615366121641,0.2331012491348405
0.21000000000000005,0.20132100829060393,0.4204685909660978,0.029733297512098005,0.24756204918146188
0.22000000000000006,0.20143873699491674,0.4228008013549883,0.03066126225830845,0.26238892363160143
0.23000000000000007,0.20155963193227758,0.4252969814658199,0.03152692551877814,0.2776011415537345
0.24000000000000007,0.2016833872283441,0.42796490523478004,0.03232696115011373,0.2932194023688006
0.25000000000000006,0.20180968285675,0.43081295883512616,0.03305782837803002,0.30926596178253035
0.26000000000000006,0.20193818411910264,0.43385019979197337,0.03371576135032533,0.3257647701962883
0.2700000000000001,0.20206854116125564,0.4370864227975634,0.03429675956440786,0.3427416247277617
0.2800000000000001,0.20220038854284217,0.4405322330672169,0.03479657979627365,0.3602243359897622
0.2900000000000001,0.20233334488159072,0.4441991281812542,0.03521073039127073,0.37824291074827926
0.3000000000000001,0.2024670125996148,0.44809958947280376,0.03553446909010686,0.39682975148680233
0.3100000000000001,0.20260097780596098,0.45224718414439685,0.03576280598335702,0.41601987371063415
0.3200000000000001,0.20273481035857358,0.45665667942501975,0.03589051375030991,0.4358511414876097
0.3300000000000001,0.20286806415994102,0.4613441702092974,0.03591214809157687,0.4563645211783732
0.34000000000000014,0.20300027775459395,0.46632722174412133,0.035822082273628805,0.4776043524752675
0.35000000000000014,0.20313097531403926,0.4716250290333029,0.03561456105224509,0.4996186346288014
0.36000000000000015,0.20325966811652904,0.47725859469931464,0.03528378104226407,0.5224593239402134
0.37000000000000016,0.2033858566563988,0.48325092704530104,0.034824006997759185,0.5461826360340631
0.38000000000000017,0.20350903355197567,0.48962725995980205,0.03422973664453907,0.5708493428325894
0.3900000000000002,0.20362868746404272,0.49641529604258683,0.03349593089550141,0.5965250492030008
0.4000000000000002,0.20374430829083276,0.5036454738196934,0.03261833175381962,0.6232804275424666
0.4100000000000002,0.20385539397349187,0.5113512590436531,0.031593897277534984,0.6511913796588377
0.4200000000000002,0.20396145933187815,0.5195694586833886,0.030421391947945034,0.6803390837636693
0.4300000000000002,0.204062047459989,0.5283405540883677,0.029102181877083917,0.7108098699197667
0.4400000000000002,0.20415674435135328,0.5377090466960301,0.027641297491002633,0.7426948499589353
0.45000000000000023,0.2042451976099489,0.5477238052165075,0.026048841097008734,0.7760892085919713
0.46000000000000024,0.20432714035211955,0.5584383971146688,0.024341831548646043,0.811091043544473
0.47000000000000025,0.20440242175446338,0.5699113790782183,0.02254658979461126,0.8477996289130645
0.48000000000000026,0.2044710462125977,0.582206510814209,0.02070177141280438,0.8863129760632276
0.49000000000000027,0.2045332238528985,0.5953928441118858,0.018862135290207294,0.9267245934544425
0.5000000000000002,0.20458943636926696,0.6095446254961372,0.017103086436885483,0.9691194182344984
0.5100000000000002,0.20464052415262848,0.624740937968942,0.015525925719341388,1.0135690259565484
0.5200000000000002,0.20468780394474137,0.6410649989158042,0.014263558401713066,1.06012642664539
0.5300000000000002,0.20473323152663764,0.6586030327115019,0.013486140972325988,1.1088209971314011
0.5400000000000003,0.20477963222241405,0.6774426546860187,0.013405784778745537,1.1596542807139594
0.5500000000000003,0.2048310342556675,0.6976707440629204,0.014279020659464682,1.2125972916506864
0.5600000000000003,0.20489315661962137,0.7193708490066903,0.016405327495077924,1.2675892455488424
0.5700000000000003,0.20497412252703062,0.7426202495207654,0.020119697838435768,1.3245358605428204
0.5800000000000003,0.20508548570855106,0.7674868837326665,0.025776912431024458,1.383302159754737
0.5900000000000003,0.20524365549844134,0.7940263904006184,0.03372466714141095,1.4436899836738277
0.6000000000000003,0.2054717590264082,0.8222795061533139,0.04426150531401013,1.505384825441754
0.6100000000000003,0.20580183361978127,0.8522699650988823,0.05757360613129778,1.5678524645913927
0.6200000000000003,0.20627692272828696,0.8840028900571624,0.07364411092242347,1.6301704296438368
0.6300000000000003,0.2069520882866034,0.9174634918151796,0.0921386716578941,1.6908124097962125
0.6400000000000003,0.20789266875062326,0.9526158918605986,0.11231034613348734,1.747502732002905
0.6500000000000004,0.20916800879021194,0.9894025170032541,0.13304373890034032,1.7974258783116666
0.6600000000000004,0.2108408661892679,1.0277462081598245,0.15318052671572613,1.8380882806361054
0.6700000000000004,0.2129573695629614,1.067558931151094,0.17203419805613868,1.868547859589947
0.6800000000000004,0.2155454340706357,1.1087596496185002,0.18966544466523608,1.8899785306679613
0.6900000000000004,0.21862410965513146,1.151298167936517,0.20668299662661213,1.9050830194181625
0.7000000000000004,0.2222171572155101,1.1951777977570752,0.2238514309612514,1.9171127825069367
0.7100000000000004,0.226363555224078,1.240474133318913,0.2418232461693336,1.929283250617395
0.7200000000000004,0.23112365889757677,1.2873546928417148,0.26104724137374863,1.944679462768673
0.7300000000000004,0.23658367036608427,1.3361080230786953,0.2818025714002319,1.966418306184921
0.7400000000000004,0.24286223525817482,1.3871914795443867,0.30440275481518847,1.9977513758402636
0.7500000000000004,0.2501252088699928,1.4413008757186463,0.3299260765288817,2.0413892705608356
0.7600000000000005,0.2586224239918404,1.499422955178641,0.3624946361459204,2.096117596016528
0.7700000000000005,0.2687691343836308,1.5626663738557645,0.413252565469568,2.1501317298656453
0.7800000000000005,0.2812425861386516,1.6314537706813372,0.49641507549853864,2.1867742909295322
0.7900000000000005,0.2969025677910654,1.7045984700635943,0.6124523558409741,2.2047880651380227
0.8000000000000005,0.3163894033500256,1.779892296196785,0.7486345014193106,2.207986412678647
0.8100000000000005,0.33972063124807356,1.8547297753611653,0.8894847906945862,2.1936455510607096
0.8200000000000005,0.36620921046523486,1.9262560272294422,1.021096954970297,2.1603248195656146
0.8300000000000005,0.3947549428786287,1.9921721829833692,1.1330521436823764,2.121014200125831
0.8400000000000005,0.42440579517987814,2.05187676104638,1.2206910786637357,2.100491841073125
0.8500000000000005,0.45477709741216593,2.1064428345881727,1.2882549185801664,2.108913487435548
0.8600000000000005,0.48585614555196693,2.1570916217284046,1.3437649213185616,2.139320933238461
0.8700000000000006,0.517633008399995,2.204284968567784,1.3924451399619875,2.184711587850679
0.8800000000000006,0.5500154003373179,2.247899602150582,1.4372170405208706,2.24104615939841
0.8900000000000006,0.5828485530330809,2.287465474041243,1.480164325338746,2.3053792281260757
0.9000000000000006,0.6159452449859781,2.3222868067700455,1.5230610253821708,2.3747155084747984
0.9100000000000006,0.6491237905814397,2.351538959812736,1.5670775760977127,2.445738598062228
0.9200000000000006,0.6822489740945902,2.374402422047165,1.611748224193977,2.514928331963118
0.9300000000000006,0.7152560113686626,2.390246905827332,1.6539776166311206,2.577674029147085
0.9400000000000006,0.7481497449404583,2.398819369789829,1.6889374081716306,2.6257448882523993
0.9500000000000006,0.7810025332801636,2.400288520927725,1.7137786290716532,2.647699057402637
0.9600000000000006,0.8139577679521405,2.3949587100109575,1.7326712794989105,2.6370317683541638
0.9700000000000006,0.8472429077820662,2.382720620557149,1.7625381243172484,2.603847241553907
0.9800000000000006,0.8812588805289164,2.3620070545165035,1.8419285633052689,2.5778790107248994
0.9900000000000007,0.9168019156389692,2.326264201490109,2.0445899935742733,2.5388339316666206
1.0000000000000007,0.9548098636591397,2.256813839441407,2.2473869972239626,2.326879092913762
